code,case,ky_code,ky_gx,t_end,gamma_code,omega_code,drift,settled,gamma_gx,omega_gx,gamma_crosscheck_code,wall_s,np,rc
gs2,G1_gs2_S_shipped_fexpr0.45,0.50000,0.3536,150.0,0.170698,0.652601,+1.92e-08,yes,0.086905,0.332250,0.170698,4.4,8,0
gs2,G1_gs2_S_shipped_fexpr0.48,0.50000,0.3536,150.0,0.171292,0.652267,+1.94e-08,yes,0.087208,0.332080,0.171292,4.2,8,0
gs2,G2_gs2_S_r2,0.50000,0.3536,150.0,0.167874,0.652333,-6.05e-09,yes,0.085467,0.332113,0.167874,11.0,8,0
gs2,G2_gs2_S_r3,,,,,,,error:IndexError,,,,nan,nan,running
gs2,G3_gs2_M18_r2,0.50000,0.3536,150.0,0.268006,0.519040,+4.84e-12,yes,0.136446,0.264252,0.268006,11.2,8,0
gs2,G3_gs2_M18_r3,,,,,,,error:IndexError,,,,nan,nan,running
gs2,gs2X_S_ky0.55_r3_ngauss12,0.77782,0.5500,1200.0,0.015557,0.335749,-1.16e-04,yes,0.022001,0.474821,0.015557,1199.6,8,0
gs2,gs2X_S_ky0.55_r3_np4,0.77782,0.5500,1200.0,0.015557,0.335749,-1.39e-04,yes,0.022001,0.474821,0.015557,962.1,5,0
gs2,gs2X_S_ky0.55_r3_nth64,0.77782,0.5500,1200.0,0.015545,0.335613,-1.23e-04,yes,0.021984,0.474629,0.015545,1032.1,5,0
gs2,gs2X_S_ky0.55_r3_vel24x12,0.77782,0.5500,1200.0,0.019603,0.350633,-8.30e-09,yes,0.027723,0.495870,0.019603,1104.8,5,0
gs2,gs2_M_ky0.15_r1,0.21213,0.1500,400.0,0.038857,0.063049,-9.24e-06,yes,0.054951,0.089165,0.038857,7.4,8,0
gs2,gs2_M_ky0.15_r2,0.21213,0.1500,400.0,0.041072,0.064261,+7.16e-06,yes,0.058084,0.090879,0.041072,21.7,8,0
gs2,gs2_M_ky0.15_r3,0.21213,0.1500,400.0,0.040889,0.064747,+1.83e-06,yes,0.057826,0.091566,0.040889,165.4,8,0
gs2,gs2_M_ky0.15_r4,,,,,,,error:IndexError,,,,nan,nan,running
gs2,gs2_M_ky0.30_r1,0.42426,0.3000,300.0,0.087603,0.149144,-1.80e-09,yes,0.123889,0.210922,0.087603,6.7,8,0
gs2,gs2_M_ky0.30_r2,0.42426,0.3000,300.0,0.088596,0.151366,-9.55e-10,yes,0.125294,0.214065,0.088596,17.5,8,0
gs2,gs2_M_ky0.30_r3,0.42426,0.3000,300.0,0.088713,0.152538,-3.81e-09,yes,0.125459,0.215721,0.088713,125.9,8,0
gs2,gs2_M_ky0.30_r4,,,,,,,error:IndexError,,,,nan,nan,running
